marking, episode: 1100, score: 600.0, mean_score: 142.50, std_score: 173.98
episode: 1100, score: 600.0, epsilon: 0.05
episode: 1105, score: 0.0, epsilon: 0.05
episode: 1110, score: 450.0, epsilon: 0.05
episode: 1115, score: 0.0, epsilon: 0.05
episode: 1120, score: 0.0, epsilon: 0.05
episode: 1125, score: 0.0, epsilon: 0.05
episode: 1130, score: 250.0, epsilon: 0.05
episode: 1135, score: 250.0, epsilon: 0.05
episode: 1140, score: 600.0, epsilon: 0.05
episode: 1145, score: 100.0, epsilon: 0.05
episode: 1150, score: 250.0, epsilon: 0.05
episode: 1155, score: 250.0, epsilon: 0.05
episode: 1160, score: 100.0, epsilon: 0.05
episode: 1165, score: 250.0, epsilon: 0.05
episode: 1170, score: 250.0, epsilon: 0.05
episode: 1175, score: 450.0, epsilon: 0.05
episode: 1180, score: 250.0, epsilon: 0.05
episode: 1185, score: 850.0, epsilon: 0.05
episode: 1190, score: 250.0, epsilon: 0.05
episode: 1195, score: 350.0, epsilon: 0.05
marking, episode: 1200, score: 250.0, mean_score: 224.00, std_score: 201.55
episode: 1200, score: 250.0, epsilon: 0.05
episode: 1205, score: 250.0, epsilon: 0.05
episode: 1210, score: 0.0, epsilon: 0.05
episode: 1215, score: 0.0, epsilon: 0.05
episode: 1220, score: 0.0, epsilon: 0.05
episode: 1225, score: 0.0, epsilon: 0.05
episode: 1230, score: 0.0, epsilon: 0.05
episode: 1235, score: 200.0, epsilon: 0.05
episode: 1240, score: 0.0, epsilon: 0.05
episode: 1245, score: 0.0, epsilon: 0.05
episode: 1250, score: 0.0, epsilon: 0.05
episode: 1255, score: 0.0, epsilon: 0.05
episode: 1260, score: 100.0, epsilon: 0.05
episode: 1265, score: 0.0, epsilon: 0.05
episode: 1270, score: 100.0, epsilon: 0.05
episode: 1275, score: 0.0, epsilon: 0.05
episode: 1280, score: 100.0, epsilon: 0.05
episode: 1285, score: 250.0, epsilon: 0.05
episode: 1290, score: 0.0, epsilon: 0.05
episode: 1295, score: 350.0, epsilon: 0.05
marking, episode: 1300, score: 0.0, mean_score: 118.00, std_score: 159.61
episode: 1300, score: 0.0, epsilon: 0.05
episode: 1305, score: 0.0, epsilon: 0.05
episode: 1310, score: 0.0, epsilon: 0.05
episode: 1315, score: 250.0, epsilon: 0.05
episode: 1320, score: 0.0, epsilon: 0.05
episode: 1325, score: 0.0, epsilon: 0.05
episode: 1330, score: 250.0, epsilon: 0.05
episode: 1335, score: 0.0, epsilon: 0.05
episode: 1340, score: 0.0, epsilon: 0.05
episode: 1345, score: 100.0, epsilon: 0.05
episode: 1350, score: 0.0, epsilon: 0.05
episode: 1355, score: 0.0, epsilon: 0.05
episode: 1360, score: 0.0, epsilon: 0.05
episode: 1365, score: 100.0, epsilon: 0.05
episode: 1370, score: 0.0, epsilon: 0.05
episode: 1375, score: 0.0, epsilon: 0.05
episode: 1380, score: 800.0, epsilon: 0.05
episode: 1385, score: 0.0, epsilon: 0.05
episode: 1390, score: 250.0, epsilon: 0.05
episode: 1395, score: 250.0, epsilon: 0.05
marking, episode: 1400, score: 200.0, mean_score: 197.00, std_score: 240.19
episode: 1400, score: 200.0, epsilon: 0.05
episode: 1405, score: 600.0, epsilon: 0.05
episode: 1410, score: 0.0, epsilon: 0.05
episode: 1415, score: 250.0, epsilon: 0.05
episode: 1420, score: 0.0, epsilon: 0.05
episode: 1425, score: 0.0, epsilon: 0.05
episode: 1430, score: 0.0, epsilon: 0.05
episode: 1435, score: 250.0, epsilon: 0.05
episode: 1440, score: 0.0, epsilon: 0.05
episode: 1445, score: 250.0, epsilon: 0.05
episode: 1450, score: 0.0, epsilon: 0.05
episode: 1455, score: 0.0, epsilon: 0.05
episode: 1460, score: 0.0, epsilon: 0.05
episode: 1465, score: 0.0, epsilon: 0.05
episode: 1470, score: 0.0, epsilon: 0.05
episode: 1475, score: 0.0, epsilon: 0.05
episode: 1480, score: 600.0, epsilon: 0.05
episode: 1485, score: 250.0, epsilon: 0.05
episode: 1490, score: 0.0, epsilon: 0.05
episode: 1495, score: 0.0, epsilon: 0.05
marking, episode: 1500, score: 0.0, mean_score: 152.50, std_score: 209.69
episode: 1500, score: 0.0, epsilon: 0.05
episode: 1505, score: 0.0, epsilon: 0.05
episode: 1510, score: 250.0, epsilon: 0.05
episode: 1515, score: 350.0, epsilon: 0.05
episode: 1520, score: 0.0, epsilon: 0.05
episode: 1525, score: 0.0, epsilon: 0.05
episode: 1530, score: 0.0, epsilon: 0.05
episode: 1535, score: 0.0, epsilon: 0.05
episode: 1540, score: 100.0, epsilon: 0.05
episode: 1545, score: 0.0, epsilon: 0.05
episode: 1550, score: 0.0, epsilon: 0.05
episode: 1555, score: 0.0, epsilon: 0.05
episode: 1560, score: 100.0, epsilon: 0.05
